series,date,rel_day,price,log_norm,rel_plot,log_plot
right,2024-12-01,-308.0,95862.89,-0.2631530049559486,-308.0,-0.2631530049559486
right,2024-12-02,-307.0,95924.52,-0.26251031415448906,-307.0,-0.26251031415448906
right,2024-12-03,-306.0,98746.24,-0.2335186192587246,-306.0,-0.2335186192587246
right,2024-12-04,-305.0,97044.23,-0.2509050924078624,-305.0,-0.2509050924078624
right,2024-12-05,-304.0,99891.35,-0.22198885104659508,-304.0,-0.22198885104659508
right,2024-12-06,-303.0,99929.32,-0.22160881027847032,-303.0,-0.22160881027847032
right,2024-12-07,-302.0,101174.99,-0.209220354442403,-302.0,-0.209220354442403
right,2024-12-08,-301.0,97324.81,-0.2480180050930044,-301.0,-0.2480180050930044
right,2024-12-09,-300.0,96660.76,-0.25486441736843907,-300.0,-0.25486441736843907
right,2024-12-10,-299.0,101202.11,-0.20895233992729892,-299.0,-0.20895233992729892
