date,value,ma30
2010-12-24,711.0,715.6333333333333
2010-12-25,914.0,723.8333333333334
2010-12-26,843.0,720.1
2010-12-27,701.0,724.6666666666666
2010-12-28,877.0,735.8333333333334
2010-12-29,696.0,740.9
2010-12-30,797.0,748.2333333333333
2010-12-31,724.0,749.0
2011-01-02,740.0,755.1
2011-01-03,1023.0,773.1666666666666
2011-01-04,907.0,785.5
2011-01-05,1111.0,804.8333333333334
2011-01-06,842.0,814.1
2011-01-07,1005.0,822.7666666666667
2011-01-08,1263.0,842.4
2011-01-09,1132.0,860.1666666666666
2011-01-10,1187.0,883.0333333333333
2011-01-11,1257.0,896.4
2011-01-12,1039.0,898.4
2011-01-13,1152.0,904.6333333333333
2011-01-14,1096.0,910.9
2011-01-15,1171.0,920.1
2011-01-16,1214.0,937.0333333333333
2011-01-17,1116.0,954.1
2011-01-18,1126.0,968.7
2011-01-19,1221.0,984.7
2011-01-20,1206.0,987.5666666666667
2011-01-21,1520.0,1010.0333333333333
2011-01-22,1703.0,1037.2
2011-01-23,1413.0,1056.9
2011-01-24,1673.0,1088.9666666666667
2011-01-25,1166.0,1097.3666666666666
2011-01-26,1251.0,1110.9666666666667
2011-01-27,1119.0,1124.9
2011-01-28,1403.0,1142.4333333333334
2011-01-29,1694.0,1175.7
2011-01-30,2852.0,1244.2
2011-01-31,1777.0,1279.3
2011-02-01,1336.0,1299.1666666666667
2011-02-02,1127.0,1302.6333333333334
2011-02-03,989.0,1305.3666666666666
2011-02-04,1169.0,1307.3
2011-02-05,1055.0,1314.4
2011-02-06,1102.0,1317.6333333333334
2011-02-07,1091.0,1311.9
2011-02-08,1092.0,1310.5666666666666
2011-02-09,1726.0,1328.5333333333333
2011-02-10,3019.0,1387.2666666666667
2011-02-11,3680.0,1475.3
2011-02-12,2872.0,1532.6333333333334
2011-02-13,2626.0,1583.6333333333334
2011-02-14,2829.0,1638.9
2011-02-15,2893.0,1694.8666666666666
2011-02-16,2557.0,1742.9
2011-02-17,3147.0,1810.2666666666667
2011-02-18,2992.0,1869.3
2011-02-19,2313.0,1906.2
2011-02-20,2752.0,1947.2666666666667
2011-02-21,2900.0,1987.1666666666667
2011-02-22,3230.0,2047.7333333333333
2011-02-23,3287.0,2101.5333333333333
2011-02-24,3083.0,2165.4333333333334
2011-02-25,2959.0,2222.366666666667
2011-02-27,3122.0,2289.133333333333
2011-02-28,2510.0,2326.0333333333333
2011-03-01,4420.0,2416.9
2011-03-02,2979.0,2421.133333333333
2011-03-03,4402.0,2508.633333333333
2011-03-04,2802.0,2557.5
2011-03-05,2923.0,2617.366666666667
2011-03-06,2870.0,2680.0666666666666
2011-03-07,2857.0,2736.3333333333335
2011-03-08,3483.0,2817.266666666667
2011-03-09,2849.0,2875.5
2011-03-10,2519.0,2923.1
2011-03-11,2579.0,2972.6666666666665
2011-03-12,2722.0,3005.866666666667
